date	SepalLengthCm	SepalWidthCm	PetalLengthCm	PetalWidthCm
20111001	5.1	3.5	1.4	0.2
20111002	4.9	3	1.4	0.2
20111003	4.7	3.2	1.3	0.2
20111004	4.6	3.1	1.5	0.2
20111005	5	3.6	1.4	0.2
20111006	5.4	3.9	1.7	0.4
20111007	4.6	3.4	1.4	0.3
20111008	5	3.4	1.5	0.2
20111009	4.4	2.9	1.4	0.2
20111010	4.9	3.1	1.5	0.1
20111011	5.4	3.7	1.5	0.2
20111012	4.8	3.4	1.6	0.2
20111013	4.8	3	1.4	0.1
20111014	4.3	3	1.1	0.1
20111015	5.8	4	1.2	0.2
20111016	5.7	4.4	1.5	0.4
20111017	5.4	3.9	1.3	0.4
20111018	5.1	3.5	1.4	0.3
20111019	5.7	3.8	1.7	0.3
20111020	5.1	3.8	1.5	0.3
20111021	5.4	3.4	1.7	0.2
20111022	5.1	3.7	1.5	0.4
20111023	4.6	3.6	1	0.2
20111024	5.1	3.3	1.7	0.5
20111025	4.8	3.4	1.9	0.2
20111026	5	3	1.6	0.2
20111027	5	3.4	1.6	0.4
20111028	5.2	3.5	1.5	0.2
20111029	5.2	3.4	1.4	0.2
20111030	4.7	3.2	1.6	0.2
20111031	4.8	3.1	1.6	0.2
20111101	5.4	3.4	1.5	0.4
20111102	5.2	4.1	1.5	0.1
20111103	5.5	4.2	1.4	0.2
20111104	4.9	3.1	1.5	0.1
20111105	5	3.2	1.2	0.2
20111106	5.5	3.5	1.3	0.2
20111107	4.9	3.1	1.5	0.1
20111108	4.4	3	1.3	0.2
20111109	5.1	3.4	1.5	0.2
20111110	5	3.5	1.3	0.3
20111111	4.5	2.3	1.3	0.3
20111112	4.4	3.2	1.3	0.2
20111113	5	3.5	1.6	0.6
20111114	5.1	3.8	1.9	0.4
20111115	4.8	3	1.4	0.3
20111116	5.1	3.8	1.6	0.2
20111117	4.6	3.2	1.4	0.2
20111118	5.3	3.7	1.5	0.2
20111119	5	3.3	1.4	0.2
20111120	7	3.2	4.7	1.4
20111121	6.4	3.2	4.5	1.5
20111122	6.9	3.1	4.9	1.5
20111123	5.5	2.3	4	1.3
20111124	6.5	2.8	4.6	1.5
20111125	5.7	2.8	4.5	1.3
20111126	6.3	3.3	4.7	1.6
20111127	4.9	2.4	3.3	1
20111128	6.6	2.9	4.6	1.3
20111129	5.2	2.7	3.9	1.4
20111130	5	2	3.5	1
20111201	5.9	3	4.2	1.5
20111202	6	2.2	4	1
20111203	6.1	2.9	4.7	1.4
20111204	5.6	2.9	3.6	1.3
20111205	6.7	3.1	4.4	1.4
20111206	5.6	3	4.5	1.5
20111207	5.8	2.7	4.1	1
20111208	6.2	2.2	4.5	1.5
20111209	5.6	2.5	3.9	1.1
20111210	5.9	3.2	4.8	1.8
20111211	6.1	2.8	4	1.3
20111212	6.3	2.5	4.9	1.5
20111213	6.1	2.8	4.7	1.2
20111214	6.4	2.9	4.3	1.3
20111215	6.6	3	4.4	1.4
20111216	6.8	2.8	4.8	1.4
20111217	6.7	3	5	1.7
20111218	6	2.9	4.5	1.5
20111219	5.7	2.6	3.5	1
20111220	5.5	2.4	3.8	1.1
20111221	5.5	2.4	3.7	1
20111222	5.8	2.7	3.9	1.2
20111223	6	2.7	5.1	1.6
20111224	5.4	3	4.5	1.5
20111225	6	3.4	4.5	1.6
20111226	6.7	3.1	4.7	1.5
20111227	6.3	2.3	4.4	1.3
20111228	5.6	3	4.1	1.3
20111229	5.5	2.5	4	1.3
20111230	5.5	2.6	4.4	1.2
20111231	6.1	3	4.6	1.4
20120101	5.8	2.6	4	1.2
20120102	5	2.3	3.3	1
20120103	5.6	2.7	4.2	1.3
20120104	5.7	3	4.2	1.2
20120105	5.7	2.9	4.2	1.3
20120106	6.2	2.9	4.3	1.3
20120107	5.1	2.5	3	1.1
20120108	5.7	2.8	4.1	1.3
20120109	6.3	3.3	6	2.5
20120110	5.8	2.7	5.1	1.9
20120111	7.1	3	5.9	2.1
20120112	6.3	2.9	5.6	1.8
20120113	6.5	3	5.8	2.2
20120114	7.6	3	6.6	2.1
20120115	4.9	2.5	4.5	1.7
20120116	7.3	2.9	6.3	1.8
20120117	6.7	2.5	5.8	1.8
20120118	7.2	3.6	6.1	2.5
20120119	6.5	3.2	5.1	2
20120120	6.4	2.7	5.3	1.9
20120121	6.8	3	5.5	2.1
20120122	5.7	2.5	5	2
20120123	5.8	2.8	5.1	2.4
20120124	6.4	3.2	5.3	2.3
20120125	6.5	3	5.5	1.8
20120126	7.7	3.8	6.7	2.2
20120127	7.7	2.6	6.9	2.3
20120128	6	2.2	5	1.5
20120129	6.9	3.2	5.7	2.3
20120130	5.6	2.8	4.9	2
20120131	7.7	2.8	6.7	2
20120201	6.3	2.7	4.9	1.8
20120202	6.7	3.3	5.7	2.1
20120203	7.2	3.2	6	1.8
20120204	6.2	2.8	4.8	1.8
20120205	6.1	3	4.9	1.8
20120206	6.4	2.8	5.6	2.1
20120207	7.2	3	5.8	1.6
20120208	7.4	2.8	6.1	1.9
20120209	7.9	3.8	6.4	2
20120210	6.4	2.8	5.6	2.2
20120211	6.3	2.8	5.1	1.5
20120212	6.1	2.6	5.6	1.4
20120213	7.7	3	6.1	2.3
20120214	6.3	3.4	5.6	2.4
20120215	6.4	3.1	5.5	1.8
20120216	6	3	4.8	1.8
20120217	6.9	3.1	5.4	2.1
20120218	6.7	3.1	5.6	2.4
20120219	6.9	3.1	5.1	2.3
20120220	5.8	2.7	5.1	1.9
20120221	6.8	3.2	5.9	2.3
20120222	6.7	3.3	5.7	2.5
20120223	6.7	3	5.2	2.3
20120224	6.3	2.5	5	1.9
20120225	6.5	3	5.2	2
20120226	6.2	3.4	5.4	2.3
20120227	5.9	3	5.1	1.8
